gene_id,log2FoldChange,pvalue,padj
YGR184C,1.370862,9.312526000000001e-27,2.182713e-24
YGR186W,1.271367,5.021066e-15,3.777578e-13
YGR187C,1.920625,2.652953e-13,1.569621e-11
YGR196C,1.467596,6.795529e-18,7.813577e-16
YGR214W,1.334782,3.534747e-05,0.0002546188
YGR225W,1.325701,1.171118e-06,1.32408e-05
YGR236C,1.023449,0.0155048,0.04204996
YGR238C,1.164259,6.534986e-11,2.249955e-09
YGR239C,1.765408,1.100816e-09,2.795155e-08
YGR251W,1.569131,1.031801e-09,2.66432e-08
YGR256W,1.134912,0.002244262,0.00856389
YGR270W,1.160782,8.270237e-14,5.305139e-12
YGR273C,1.104772,0.01089663,0.03150097
YGR274C,1.201057,1.649028e-14,1.182256e-12
YGR278W,1.075494,1.005149e-07,1.558621e-06
YGR280C,1.31795,1.045295e-06,1.206315e-05
YGR281W,1.008725,4.226548e-06,4.037082e-05
YGR283C,1.256373,5.585813e-08,9.429347e-07
YGR285C,1.005814,1.885608e-05,0.0001461946
YHL010C,1.091959,9.923158e-11,3.268742e-09
YHL028W,2.514062,7.486588e-14,4.853539e-12
YHL031C,1.049281,0.0001749771,0.0009956213
YHR015W,1.386726,2.206057e-05,0.0001664306
YHR096C,2.43273,6.423986e-06,5.782536e-05
YHR138C,1.011972,0.00300924,0.01099419
YHR153C,1.157785,0.001801486,0.007124111
YHR215W,2.15379,0.0005991809,0.002826167
YIL008W,1.164141,0.0007261511,0.003312249
YIL009C-A,2.08121,9.436526e-07,1.103766e-05
YIL011W,1.451223,0.0003910017,0.001961123
YIL013C,1.757503,1.030992e-12,5.369972e-11
YIL014W,1.816025,2.687964e-21,4.427150000000001e-19
YIL024C,1.497435,0.0006005122,0.002830256
YIL044C,1.123663,7.570887e-06,6.667195e-05
YIL046W-A,1.368005,0.002265214,0.008625961
YIL064W,1.468033,6.065127e-08,1.005759e-06
YIL073C,1.49849,4.776507e-06,4.457585e-05
YIL091C,1.318928,1.045421e-06,1.206315e-05
YIL092W,1.064303,4.488766e-07,5.807758e-06
YIL099W,1.382766,1.113903e-06,1.27357e-05
YIL101C,1.412125,6.579937e-07,8.150027e-06
YIL121W,1.238437,3.110243e-06,3.095131e-05
YIL127C,1.420471,4.752225e-07,6.109717e-06
YIL136W,1.085523,0.0002445273,0.00132156
YIL138C,1.231521,6.713289e-12,2.96455e-10
YIL152W,1.059108,0.0002488831,0.001339835
YIL161W,1.455562,2.154609e-12,1.067495e-10
YIL172C,1.150818,0.006370083,0.02018683
YIL177C,1.107443,0.0004709177,0.002299497
YIR002C,1.257445,9.581065e-16,8.461886e-14
YIR010W,1.620018,1.377014e-13,8.562779e-12
YIR019C,3.832932,1.79714e-24,3.776472e-22
YIR035C,1.155597,0.0006472746,0.003015666
YIR038C,1.468728,1.886856e-06,2.010227e-05
YIR042C,1.849554,0.0002503763,0.001346684
YJL033W,1.125095,2.581356e-05,0.0001909076
YJL037W,1.16547,0.003861126,0.01338436
YJL038C,1.189487,0.00174536,0.006920118
YJL084C,1.552876,9.218487000000001e-18,1.040323e-15
YJL088W,2.448684,7.922006e-07,9.522032e-06
YJL092W,1.113368,1.590065e-17,1.730331e-15
YJL098W,1.332132,9.235185e-07,1.087624e-05
YJL102W,1.317773,8.942635e-08,1.411824e-06
YJL104W,1.169273,1.340665e-06,1.496339e-05
YJL122W,1.319221,1.149713e-05,9.506579e-05
YJL148W,1.025014,0.000426374,0.002102203
YJL162C,1.236688,1.009326e-09,2.617376e-08
YJL174W,1.506146,2.334691e-11,9.190058e-10
YJR056C,1.472291,1.124187e-08,2.260989e-07
YJR060W,1.076342,9.245089e-07,1.087624e-05
YJR061W,1.158189,4.792462e-07,6.13556e-06
YJR072C,1.082256,6.837802e-08,1.114159e-06
YJR078W,1.020339,0.006207742,0.01976488
YJR082C,1.688676,4.398711e-08,7.636964e-07
YJR094C,1.076874,0.008078299,0.02462689
YJR112W,1.333926,0.0001208869,0.0007379752
YKL028W,1.016009,2.771085e-08,5.132825e-07
YKL050C,1.577486,5.087134e-11,1.823588e-09
YKL065W-A,1.969285,1.73814e-05,0.0001354505
YKL070W,1.524132,0.0001198048,0.0007322875
YKL071W,1.042422,0.01182034,0.03372317
YKL096W-A,3.16765,1.007737e-06,1.167519e-05
YKL113C,1.413528,8.361732e-08,1.333937e-06
YKL139W,1.070892,3.08941e-07,4.202425e-06
YKL201C,1.170561,1.296173e-09,3.250567e-08
YKR015C,1.913132,1.389293e-09,3.469817e-08
YKR037C,1.27571,2.296144e-07,3.224125e-06
YKR050W,1.197907,2.072768e-08,3.947327e-07
YKR081C,1.161395,1.697261e-05,0.0001327742
YLL006W-A,1.613975,1.999746e-06,2.112292e-05
YLL022C,1.331589,3.843309e-08,6.848282e-07
YLL030C,1.458467,0.001585637,0.006369724
YLL036C,1.032454,5.885631e-10,1.606609e-08
YLL046C,2.858937,2.2275370000000003e-17,2.34045e-15
YLR003C,1.024479,4.285589e-07,5.592372e-06
YLR025W,1.043097,8.148816e-11,2.758827e-09
YLR032W,1.421568,1.406468e-11,5.791228e-10
YLR103C,1.112148,0.0001117674,0.0006946242
YLR106C,1.105241,9.125563e-07,1.077736e-05
YLR121C,2.055319,4.077986e-08,7.182441e-07
YLR151C,1.311515,3.414353e-07,4.593171e-06
YLR172C,1.086474,9.121867e-08,1.436399e-06
YLR194C,1.048893,0.002973502,0.01087666
YLR204W,1.030929,2.461339e-07,3.408955e-06
YLR216C,1.087628,0.001355267,0.005595525
YLR224W,1.161522,3.019047e-07,4.1159e-06
YLR255C,1.424385,9.460222e-07,1.104203e-05
YLR258W,1.240089,1.85896e-05,0.0001443121
YLR259C,1.046864,1.560678e-05,0.0001231965
YLR263W,1.104538,1.55968e-07,2.301377e-06
YLR323C,1.043742,0.005108131,0.01691791
YLR343W,1.148129,6.707336e-05,0.0004491704
YLR353W,1.062728,2.192263e-06,2.291535e-05
YLR363W-A,1.524946,1.347028e-05,0.0001091594
YLR383W,1.030822,2.842857e-08,5.233017e-07
YLR394W,1.359585,2.282011e-09,5.411118e-08
YLR399C,1.207616,3.62454e-14,2.481792e-12
YLR406C-A,1.002973,0.01554378,0.04213691
YLR407W,1.153349,5.40392e-05,0.0003721072
YLR412C-A,1.186254,0.0001846949,0.001038164
YLR427W,1.088409,1.247239e-11,5.205941e-10
YLR455W,1.01567,5.122888e-07,6.503933e-06
YML009C,1.710097,5.52083e-11,1.956043e-09
YML048W,1.011894,4.363132e-07,5.675033e-06
YML081C-A,1.306988,0.0005986591,0.002825893
YML085C,1.077591,0.0001410889,0.0008371915
YMR005W,1.333064,2.630599e-11,1.02762e-09
YMR014W,1.173445,4.458104e-06,4.225146e-05
YMR030W,1.059604,1.697715e-07,2.481026e-06
YMR035W,1.098321,0.00634383,0.02013505
YMR055C,1.228051,4.834235e-05,0.0003355333
YMR076C,1.728078,2.873484e-09,6.683592e-08
YMR101C,2.08471,4.6039e-12,2.093744e-10
YMR118C,1.368782,0.00122234,0.005098563
YMR127C,1.74433,3.999506e-08,7.085172e-07
YMR128W,1.01592,4.470446e-05,0.0003136929
YMR136W,1.473544,2.367184e-06,2.453336e-05
